Checking,084043040063404057006440990208840870,Michael Scott,1524.51
Checking,000707030903804300083000770090045009,Saul Goodman,2241.60
Savings,499100710008004009081010907900028005,Phoebe buffay,2537.31
Loan,230800000172504282084010200418075682,dean Winchester,2930.24
Loan,006300300330004036002000000206499364,Rick Grimes,2990.42
Checking,506005040003004800090350030990030271,Meredith Grey,1792.99
Savings,300104630001004530005900650805700060,Jesse Pinkman,1728.66
Loan,60800258000030401900238045000004048,Teresa Lisbon,1059.35
Checking,700300400010004250008300073381089569,James bond,2609.77
Checking,600003900342004195099100920184650457,Han Solo,2733.52
Loan,090991700000004093008010705306092070,Walter White,1235.37
Checking,907001630303004000084680185300030007,Jon Snow,2490.02
Savings,099006470140004001009000000604606030,Tony Stark,1374.10
Savings,510002740070104480080040093020047800,Peter Parker,2798.93
Loan,489100550007304000001060635500801303,Sherlock Holmes,2264.80
Savings,010314910112004000007300040000433979,captain Kirk,2537.68
